iter	RMSE
0	1005.214764
1	950.5894671
2	897.9478167
3	849.3817641
4	802.6986605
5	759.8037758
6	718.9218405
7	680.2565158
8	642.9287373
9	607.7513517
10	574.9601797
11	542.8924224
12	513.6157758
13	485.6317425
14	458.7396536
15	434.1162577
16	410.941452
17	388.9520156
18	368.0307035
19	348.3729889
20	329.9206792
21	312.6544273
22	296.0680448
23	280.6438027
24	266.3435811
25	252.1990734
26	239.2590495
27	226.9521701
28	215.3117603
29	204.5205476
30	194.3449001
31	184.2533338
32	175.0910289
33	166.0795143
34	157.9456503
35	150.0268447
36	142.7383108
37	136.0523297
38	129.8087028
39	123.534703
40	117.7647321
41	112.2706113
42	107.2107005
43	102.2255658
44	97.58692984
45	93.46971132
46	89.34863647
47	85.6279829
48	82.09209916
49	78.72214641
50	75.56602658
51	72.63618407
52	69.82124151
53	67.32975415
54	64.95074433
55	62.68572856
56	60.55270882
57	58.54320837
58	56.69659682
59	54.98588569
60	53.39560078
61	51.95609613
62	50.66340579
63	49.46517484
64	48.35167802
65	47.30441095
66	46.28008444
67	45.38493664
68	44.54233987
69	43.73008008
70	42.98952089
71	42.33051956
72	41.71242278
73	41.13670724
74	40.58782738
75	40.10966677
76	39.65112756
77	39.24665634
78	38.87540932
79	38.50904939
80	38.15875449
81	37.84203689
82	37.51278009
83	37.22077669
84	36.93654754
85	36.68555777
86	36.42927226
87	36.20651484
88	35.99021562
89	35.8266099
90	35.66495407
91	35.46728036
92	35.25607
93	35.10199131
94	34.88459817
95	34.70154711
96	34.56514984
97	34.37648985
98	34.1766254
99	34.04155794
100	33.91053639
101	33.81299797
102	33.68155878
103	33.52153474
104	33.40565794
105	33.3168999
106	33.20901887
107	33.10621929
108	33.0400802
109	32.9504258
110	32.78224516
111	32.6104364
112	32.52537792
113	32.37559465
114	32.27972539
115	32.17118103
116	32.07354826
117	31.99979411
118	31.87909129
119	31.80309719
120	31.72283881
121	31.64490322
122	31.55081216
123	31.44637539
124	31.34783951
125	31.25273369
126	31.1470432
127	31.04783746
128	30.9238751
129	30.86589911
130	30.74575569
131	30.65482373
132	30.55652857
133	30.4556121
134	30.39492279
135	30.29989209
136	30.20197581
137	30.1363245
138	30.07852416
139	29.97053104
140	29.91539759
141	29.81397596
142	29.76066062
143	29.68905443
144	29.63828832
145	29.5553808
146	29.46579199
147	29.36579988
148	29.31899183
149	29.26783396
150	29.21576863
151	29.14533821
152	29.0800315
153	29.03117526
154	28.96417688
155	28.89011983
156	28.79400854
157	28.72541148
158	28.65623082
159	28.56284573
160	28.51062343
161	28.46682642
162	28.43088417
163	28.37973398
164	28.30756977
165	28.22334991
166	28.17720679
167	28.13369311
168	28.04773535
169	27.97886309
170	27.91649097
171	27.82478429
172	27.76836795
173	27.69297083
174	27.65678299
175	27.54846777
176	27.44629433
177	27.40319206
178	27.35336039
179	27.2629308
180	27.17435987
181	27.09057008
182	27.05102325
183	27.00755106
184	26.92412738
185	26.83032911
186	26.71972063
187	26.6564974
188	26.61285926
189	26.57274546
190	26.51077471
191	26.45684705
192	26.43137768
193	26.34467462
194	26.27446403
195	26.24220215
196	26.19694206
197	26.15739118
198	26.12063679
199	26.03342928
200	25.98885061
201	25.91724375
202	25.84953277
203	25.77573159
204	25.7298671
205	25.69730112
206	25.65716312
207	25.57337719
208	25.55360436
209	25.48645653
210	25.41306548
211	25.33938239
212	25.30876727
213	25.2566278
214	25.18298097
215	25.16277331
216	25.13323154
217	25.10840771
218	25.0324619
219	24.9986389
220	24.91575184
221	24.86814267
222	24.83714478
223	24.80343108
224	24.7295962
225	24.67202663
226	24.60869217
227	24.55489255
228	24.50936732
229	24.4447198
230	24.38472488
231	24.33008196
232	24.26792619
233	24.24874952
234	24.18190629
235	24.15494185
236	24.09908582
237	24.0714007
238	24.02523151
239	24.00798702
240	23.94773539
241	23.87498285
242	23.84521366
243	23.80135159
244	23.75616383
245	23.72819557
246	23.67838898
247	23.66505728
248	23.64921006
249	23.60370018
250	23.57488214
251	23.52864345
252	23.49959532
253	23.42612824
254	23.37885516
255	23.32854476
256	23.27162952
257	23.25994576
258	23.21380536
259	23.18801009
260	23.1350738
261	23.091865
262	23.04296139
263	23.00236755
264	22.98001553
265	22.93939726
266	22.9276197
267	22.89970281
268	22.88772252
269	22.84325863
270	22.80578598
271	22.78884169
272	22.75401344
273	22.70249744
274	22.68397322
275	22.62223162
276	22.5814447
277	22.5661595
278	22.54990745
279	22.50066933
280	22.47545499
281	22.42401691
282	22.38665514
283	22.37313755
284	22.32892283
285	22.30841843
286	22.29406755
287	22.25767486
288	22.21147749
289	22.16248926
290	22.14550093
291	22.12423675
292	22.11339159
293	22.09077897
294	22.05505426
295	22.02300301
296	22.00370112
297	21.94877184
298	21.89661118
299	21.85062266
300	21.82609394
301	21.78780097
302	21.75789562
303	21.7380535
304	21.69415074
305	21.6566107
306	21.62608453
307	21.58974199
308	21.57909338
309	21.57356339
310	21.54532477
311	21.52049766
312	21.4642057
313	21.44241849
314	21.41896103
315	21.3912405
316	21.36424817
317	21.35617866
318	21.32791222
319	21.30717793
320	21.28709657
321	21.24977288
322	21.24028508
323	21.1914336
324	21.15552639
325	21.13603417
326	21.08741583
327	21.04607578
328	20.99885286
329	20.95044644
330	20.91008512
331	20.87960196
332	20.84019752
333	20.82365364
334	20.81579923
335	20.79164917
336	20.77358418
337	20.76724527
338	20.72310482
339	20.70877274
340	20.69698702
341	20.66192973
342	20.62962744
343	20.58888139
344	20.58234025
345	20.5703088
346	20.5367666
347	20.49351587
348	20.47470398
349	20.45303199
350	20.43479487
351	20.39942779
352	20.36036843
353	20.32716175
354	20.31233744
355	20.28475526
356	20.27038418
357	20.26418377
358	20.2469844
359	20.21065559
360	20.18558002
361	20.15520986
362	20.14170206
363	20.10959988
364	20.1038209
365	20.07559697
366	20.04974032
367	20.0326443
368	20.00401823
369	19.97678675
370	19.97120231
371	19.9567286
372	19.95146813
373	19.94478081
374	19.93959382
375	19.93427756
376	19.92193519
377	19.90721203
378	19.86772394
379	19.85330306
380	19.83662637
381	19.80932438
382	19.80210368
383	19.76557923
384	19.7418403
385	19.72932069
386	19.72221245
387	19.71303945
388	19.68468656
389	19.67976662
390	19.64353502
391	19.63276946
392	19.5964991
393	19.57155876
394	19.56653299
395	19.55269234
396	19.52642656
397	19.51170815
398	19.47932832
399	19.46660049
400	19.44213733
401	19.41540869
402	19.37826926
403	19.35485195
404	19.35017527
405	19.34600676
406	19.33085875
407	19.30623399
408	19.29788556
409	19.27114108
410	19.26362313
411	19.23281742
412	19.2192202
413	19.20713956
414	19.1936244
415	19.15423511
416	19.13282149
417	19.10095356
418	19.07684369
419	19.05021514
420	19.04033488
421	19.03606299
422	19.00626085
423	18.99335939
424	18.97174838
425	18.95029886
426	18.91059889
427	18.90412575
428	18.87604016
429	18.86139939
430	18.84136721
431	18.8281374
432	18.8026143
433	18.79152949
434	18.78622237
