iter	Passed	Remaining
0	13	13356
1	26	13337
2	39	13229
3	52	13055
4	65	13029
5	77	12880
6	90	12815
7	102	12725
8	114	12623
9	126	12520
10	138	12479
11	150	12410
12	162	12367
13	175	12342
14	187	12308
15	199	12252
16	211	12222
17	223	12195
18	235	12156
19	247	12135
20	259	12102
21	271	12053
22	282	12007
23	294	11968
24	306	11948
25	318	11912
26	329	11879
27	341	11862
28	353	11833
29	365	11806
30	376	11766
31	388	11749
32	400	11731
33	412	11714
34	424	11693
35	435	11664
36	447	11638
37	459	11621
38	470	11592
39	482	11572
40	494	11555
41	506	11542
42	517	11520
43	529	11497
44	540	11468
45	551	11446
46	563	11433
47	575	11407
48	586	11385
49	598	11378
50	610	11365
51	622	11351
52	635	11346
53	647	11337
54	659	11323
55	670	11299
56	682	11290
57	694	11275
58	705	11259
59	718	11263
60	730	11243
61	742	11231
62	753	11208
63	764	11182
64	776	11163
65	787	11142
66	799	11126
67	810	11110
68	822	11094
69	833	11072
70	845	11058
71	856	11041
72	868	11029
73	880	11013
74	891	10998
75	903	10982
76	914	10967
77	926	10956
78	938	10938
79	949	10922
80	962	10915
81	974	10905
82	985	10891
83	996	10870
84	1007	10847
85	1018	10828
86	1030	10811
87	1041	10797
88	1052	10777
89	1064	10762
90	1075	10738
91	1086	10724
92	1097	10705
93	1109	10690
94	1120	10671
95	1131	10651
96	1142	10638
97	1153	10618
98	1164	10600
99	1176	10588
100	1187	10572
101	1199	10557
102	1211	10548
103	1223	10543
104	1235	10531
105	1246	10512
106	1258	10505
107	1270	10493
108	1281	10472
109	1293	10462
110	1304	10445
111	1315	10430
112	1327	10417
113	1338	10400
114	1350	10392
115	1361	10376
116	1372	10361
117	1384	10348
118	1396	10338
119	1407	10324
120	1419	10313
121	1431	10303
122	1443	10290
123	1454	10272
124	1464	10254
125	1477	10247
126	1489	10236
127	1500	10223
128	1513	10217
129	1525	10208
130	1536	10194
131	1550	10193
132	1560	10175
133	1571	10157
134	1582	10140
135	1593	10123
136	1604	10107
137	1615	10089
138	1625	10071
139	1637	10056
140	1647	10037
141	1659	10028
142	1670	10010
143	1681	9995
144	1693	9983
145	1705	9977
146	1718	9969
147	1729	9958
148	1741	9945
149	1752	9932
150	1763	9915
151	1774	9899
152	1785	9884
153	1797	9872
154	1809	9865
155	1821	9855
156	1833	9842
157	1843	9824
158	1854	9808
159	1865	9794
160	1876	9777
161	1887	9764
162	1899	9752
163	1909	9734
164	1921	9726
165	1932	9710
166	1943	9692
167	1953	9675
168	1965	9664
169	1975	9646
170	1987	9636
171	1999	9625
172	2009	9608
173	2020	9592
174	2032	9579
175	2044	9571
176	2056	9561
177	2066	9544
178	2077	9527
179	2088	9515
180	2100	9506
181	2111	9491
182	2123	9478
183	2133	9462
184	2144	9448
185	2156	9439
186	2167	9425
187	2179	9413
188	2190	9397
189	2200	9382
190	2212	9371
191	2224	9360
192	2236	9350
193	2247	9338
194	2260	9333
195	2272	9320
196	2282	9305
197	2294	9294
198	2305	9279
199	2317	9270
200	2329	9258
201	2341	9251
202	2352	9237
203	2364	9226
204	2376	9214
205	2386	9199
206	2397	9185
207	2409	9175
208	2421	9164
209	2433	9155
210	2445	9145
211	2457	9135
212	2469	9122
213	2481	9115
214	2493	9103
215	2504	9091
216	2516	9079
217	2527	9066
218	2539	9057
219	2550	9042
220	2561	9029
221	2573	9018
222	2584	9004
223	2595	8991
224	2606	8978
225	2618	8968
226	2631	8959
227	2641	8945
228	2653	8934
229	2664	8921
230	2677	8913
231	2688	8899
232	2699	8887
233	2711	8876
234	2723	8865
235	2734	8853
236	2747	8844
237	2758	8830
238	2769	8816
239	2780	8805
240	2793	8797
241	2805	8787
242	2817	8775
243	2829	8765
244	2839	8751
245	2850	8737
246	2862	8727
247	2873	8713
248	2885	8702
249	2896	8689
250	2907	8677
251	2918	8663
252	2929	8648
253	2941	8639
254	2953	8627
255	2965	8619
256	2977	8609
257	2988	8593
258	3000	8584
259	3012	8573
260	3023	8561
261	3034	8548
262	3047	8539
263	3058	8526
264	3069	8514
265	3080	8500
266	3092	8489
267	3103	8475
268	3113	8461
269	3125	8450
270	3137	8439
271	3147	8425
272	3160	8415
273	3172	8406
274	3184	8394
275	3196	8385
276	3207	8372
277	3218	8358
278	3229	8346
279	3241	8335
280	3252	8321
281	3264	8311
282	3275	8297
283	3286	8286
284	3298	8274
285	3309	8262
286	3321	8250
287	3332	8239
288	3345	8231
289	3356	8218
290	3368	8207
291	3379	8193
292	3390	8181
293	3400	8166
294	3412	8155
295	3423	8142
296	3433	8128
297	3445	8116
298	3457	8107
299	3469	8096
300	3480	8083
301	3493	8075
302	3506	8065
303	3516	8051
304	3530	8044
305	3541	8032
306	3552	8019
307	3565	8010
308	3575	7996
309	3587	7984
310	3598	7973
311	3610	7961
312	3622	7950
313	3633	7937
314	3643	7924
315	3655	7913
316	3667	7902
317	3678	7889
318	3690	7879
319	3701	7865
320	3712	7851
321	3723	7840
322	3734	7826
323	3745	7815
324	3757	7803
325	3768	7792
326	3780	7779
327	3792	7770
328	3804	7758
329	3816	7748
330	3829	7739
331	3841	7728
332	3852	7716
333	3863	7702
334	3873	7689
335	3885	7677
336	3895	7664
337	3907	7652
338	3919	7642
339	3930	7630
340	3942	7618
341	3955	7609
342	3966	7597
343	3978	7587
344	3990	7575
345	4000	7561
346	4011	7548
347	4023	7538
348	4035	7526
349	4047	7516
350	4057	7502
351	4069	7492
352	4081	7480
353	4092	7468
354	4103	7455
355	4114	7442
356	4125	7430
357	4137	7419
358	4147	7405
359	4160	7396
360	4171	7384
361	4183	7374
362	4195	7362
363	4208	7352
364	4219	7341
365	4230	7328
366	4242	7318
367	4253	7304
368	4264	7292
369	4276	7282
370	4288	7270
371	4299	7257
372	4310	7246
373	4322	7234
374	4333	7222
375	4345	7211
376	4356	7199
377	4367	7187
378	4379	7176
379	4390	7163
380	4401	7150
381	4414	7141
382	4425	7129
383	4438	7119
384	4449	7107
385	4460	7095
386	4471	7083
387	4482	7070
388	4494	7059
389	4506	7048
390	4518	7037
391	4529	7025
392	4541	7014
393	4554	7004
394	4565	6993
395	4576	6981
396	4589	6970
397	4599	6957
398	4611	6946
399	4622	6934
400	4634	6923
401	4646	6912
402	4659	6902
403	4670	6889
404	4681	6877
405	4693	6866
406	4703	6853
407	4715	6841
